"","Goalkeeper"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","GP","CS","GA","Sv","YC","RC","FC","FS","Pen","PKS","PKD","PKM","TkW","DIS","G","A2","KP","AT","Int","CLR","CoS","AER","ACNC","HCS","OG","SOT"
"*sample*","G","Alisson","LIV","G","Act","32","CHE Sat 3:00PM","245.50","8.18","95","45.20","30","11","29","87","2","0","0","4","0","1","0","0","0","0","0","0","1","1","1","0","0","5","0","0","0","0"

"","Outfielder"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","GP","G","A2","KP","AT","SOT","TkW","DIS","FC","FS","YC","SYC","RC","HB","Pen","Off","ACNC","Int","CLR","CoS","BS","AER","BR","PKM","PKD","OG","GAO","CS"
"*sample*","D","Virgil van Dijk","LIV","D","Act","33","CHE Sat 3:00PM","298.25","9.61","100","25.30","31","2","0","18","4","8","42","12","28","25","3","0","0","0","0","0","8","35","0","12","35","85","140","0","0","0","38","11"
"*sample*","D","Trent Alexander-Arnold","LIV","D","Act","26","CHE Sat 3:00PM","315.75","10.19","100","18.45","31","2","0","45","9","12","25","18","18","32","4","0","0","0","0","0","15","28","0","25","8","65","112","0","0","0","42","11"
"*sample*","D","Josko Gvardiol","MCI","D","Act","22","WOL Sat 5:30PM","287.50","9.27","98","35.60","31","3","0","35","6","15","38","15","32","28","7","0","0","0","0","0","12","41","0","18","24","72","128","0","0","0","45","9"
"*sample*","D","Gabriel","ARS","D","Act","27","MUN Sun 2:00PM","298.00","9.61","100","28.75","31","4","0","22","3","12","35","8","35","22","8","0","0","0","0","0","6","42","0","8","38","95","142","0","0","1","42","10"
"*sample*","M","Mohamed Salah","LIV","M","Act","32","CHE Sat 3:00PM","485.25","15.65","100","1.20","31","18","0","62","12","42","15","45","25","35","3","0","0","0","0","0","8","12","0","28","2","18","85","0","0","0","35","11"
"*sample*","M","Bukayo Saka","ARS","M","Act","23","MUN Sun 2:00PM","428.75","13.83","100","4.85","31","14","0","58","11","38","18","42","22","28","2","0","0","0","0","0","12","15","0","35","3","22","95","0","0","0","38","10"
"*sample*","M","Cole Palmer","CHE","M","Act","22","LIV Sat 3:00PM","445.50","14.37","100","2.95","31","16","0","55","9","45","12","38","18","32","4","0","0","0","0","0","10","8","0","25","1","15","88","0","0","0","32","8"
"*sample*","M","Kevin De Bruyne","MCI","M","Res","33","WOL Sat 5:30PM","285.25","14.26","85","15.40","20","8","0","28","6","18","15","25","12","22","2","0","0","0","0","0","5","12","0","18","2","8","65","0","0","0","22","9"
"*sample*","F","Erling Haaland","MCI","F","Act","24","WOL Sat 5:30PM","498.75","16.09","100","3.15","31","22","0","35","8","58","8","45","38","28","1","0","0","0","0","0","2","5","0","15","2","85","68","0","0","0","28","9"
"*sample*","F","Alexander Isak","NEW","F","Act","25","AVL Sat 12:30PM","412.50","13.31","100","8.90","31","15","0","42","7","48","12","42","35","25","3","0","0","0","0","0","4","8","0","22","3","75","55","0","0","0","25","8"
"*sample*","F","Darwin Nunez","LIV","F","Res","25","CHE Sat 3:00PM","298.25","11.47","75","45.20","26","12","0","28","5","32","18","35","28","22","5","0","0","0","0","0","3","6","0","18","2","55","48","0","0","0","22","11"

