"","Goalkeeper"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","CS","GA","Sv","YC","RC","FC","FS","Pen","PKS","PKD","PKM","TkW","DIS","G","A2","KP","AT","Int","CLR","CoS","AER","ACNC","HCS","OG","SOT"
"*032f9*","G","Jordan Pickford","EVE","G","Act","31","@LEE Mon 3:00PM","10.57","100","91.84","0.26","1.34","4.58","0.09","0","0","0.11","0","0.15","0","0","0","0","0","0","0.01","0.01","0.03","1.33","0.01","0.17","0","0","0","0"

"","Outfielder"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","% of leagues in which player was drafted","Average draft position among all leagues on Fantrax","G","A2","KP","AT","SOT","TkW","DIS","FC","FS","YC","SYC","RC","HB","Pen","Off","ACNC","Int","CLR","CoS","BS","AER","BR","PKM","PKD","OG","GAO","CS"
"*05y9n*","D","Lewis Hall","NEW","D","Act","20","@AVL Sat 7:30AM","10.82","100","72.17","0.03","0","0.59","0.09","0.11","1.6","0.59","1.18","0.83","0.28","0","0","0","0","0","0.16","1.68","5.78","0.28","1.24","2.56","5.29","0","0","0.02","1.7","0.2"
"*0427d*","D","James Tarkowski","EVE","D","Act","32","@LEE Mon 3:00PM","10.61","100","63.01","0.03","0","0.27","0.03","0.09","1.04","0.21","0.92","0.61","0.2","0","0","0","0","0","0.01","1.31","6.2","0.18","1.36","2.63","3.15","0","0","0.01","1.34","0.38"
"*04adp*","D","Aaron Wan-Bissaka","WHU","D","Act","27","@SUN Sat 10:00AM","13.04","100","53.55","0.06","0","0.51","0.07","0.12","1.39","0.3","0.71","0.61","0.11","0","0.01","0","0","0","0.18","2.06","5.92","0.77","0.98","1.75","4.38","0","0","0.01","1.26","0.42"
"*063q8*","M","Mikkel Damsgaard","BRF","M","Act","25","@NOT Sun 9:00AM","11.41","99","59.02","0.1","0","1.98","0.2","0.33","1.25","1.63","0.96","1.18","0.19","0","0","0","0","0","0.65","0.51","1.14","1.22","0.15","0.56","5.22","0","0","0","1.59","0.26"
"*06ymu*","M","El Hadji Malick Diouf","WHU","M","Act","20","@SUN Sat 10:00AM","11.31","52","126.43","0.06","0","1.57","0.06","0.22","1.6","1.26","2.13","1.27","0.38","0","0","0","0","0","0.61","1.36","1.88","1.02","0.54","2.31","6.12","0","0","0","1.26","0.42"
"*062ci*","M","Kaoru Mitoma","BHA","M","Act","28","FUL Sat 10:00AM","14.04","100","33.16","0.36","0","1.58","0.23","1.03","0.94","2.08","1.31","1.53","0.16","0","0.01","0","0","0","0.37","0.66","0.8","1.28","0.2","1.16","4.1","0","0","0.01","1.19","0.46"
"*052cd*","M","Mason Mount","MUN","M","Act","26","ARS Sun 11:30AM","0","22","185.16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06fvn*","F","Beto","EVE","F","Act","27","@LEE Mon 3:00PM","9.37","67","129.37","0.31","0","0.7","0.03","1.11","0.31","1.59","1.72","1.43","0.17","0","0","0","0","0","0.04","0.19","1.03","1.05","0.07","3.79","2.02","0","0","0","1.34","0.38"
"*03aqp*","F","Mohamed Salah","LIV","F","Act","33","BOU Fri 3:00PM","15.45","100","1.84","0.61","0","1.47","0.3","1.44","0.76","2.09","1.59","1.3","0.14","0","0","0","0","0","0.21","0.23","0.82","1.16","0.09","1.56","3.04","0.04","0","0","0.93","0.58"
"*06mow*","F","Jorgen Strand Larsen","WOL","F","Act","25","MCI Sat 12:30PM","14","99","74.59","0.47","0","1.48","0.17","1.54","0.35","1.65","1.56","1.42","0.13","0","0","0","0","0","0.24","0.28","1.32","0.96","0.28","2.49","3.02","0","0","0","2.07","0.01"
"*06v0g*","D","Trai Hume","SUN","D","Res","23","WHU Sat 10:00AM","12.21","39","142.41","0.08","0","1.13","0.07","0.17","1.16","0.27","1.22","0.9","0.16","0","0.01","0","0","0","0.35","1.29","4.5","0.31","0.57","2.98","5.2","0","0","0.01","1.51","0.29"
"*06uyc*","D","Adrien Truffert","BOU","D","Res","23","@LIV Fri 3:00PM","6.98","91","109.16","0.03","0","0.7","0.06","0.22","1.27","0.45","1.05","1.01","0.32","0","0","0","0","0","0.28","1.48","7.25","0.35","1.16","2.22","5.82","0","0","0","2.57","-0.23"
"*06zce*","M","Jhon Arias","WOL","M","Res","27","MCI Sat 12:30PM","0","56","123.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*03frx*","D","Ola Aina","NOT","D","IR","28","BRF Sun 9:00AM","10.75","62","131.37","0.04","0","0.37","0.02","0.14","1.25","0.32","0.74","0.54","0.15","0","0","0","0","0","0.15","1.03","5.43","0.48","0.69","1.7","4.94","0","0","0","1.17","0.47"

